#,Lender Name,Done,Website,Contact Name,Linkedin Profile,Contact E-Mail,Contact Phone,Lender Type,CRE - Construction,CRE-Residential,CRE - Land,CRE - Office,CRE - Industrial,CRE - Hotel,CRE - Retail,CRE - Other,Real Estate,Aircraft,Art,Insurance Premium,Yacht,Sports,Fund - LP,Fund - NAV,Fund - GP,Fund - Mgmt Company,Fund - SCF,Other Financing (specify),Senior,Subbordinated,Recourse,Non-recourse,Based In,Geographic Coverage,"Lender Location (City, State, Country)",Note
1,First Bank,,https://www.firstbank.com,James Smith,https://www.linkedin.com/company/firstbank,james.smith@firstbank.com,+1 (212) 854-2824,Regional Bank,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"South Bend, IN",Domestic,Indiana,loan area: NAM & LATAM. loan value range: $250K - $10MM. estimated book size: $300MM. comment: Small regional bank in South Bend
2,United Bancorp,,https://www.unitedbancorp.com,Maria Johnson,https://www.linkedin.com/company/unitedbancorp,maria.johnson@unitedbancorp.com,+1 (310) 225-5506,Regional Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mexico City, Mexico",Domestic,Mexico City,"Tailored terms, local currency, structured notes"
3,National Financial,,https://www.nationalfinancial.com,Carlos Martinez,https://www.linkedin.com/company/nationalfinancial,carlos.martinez@nationalfinancial.com,+1 (305) 450-4657,Regional Bank,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,US,Global,"San Antonio, Texas","Affinius Capital's strategies focus on value creation and income generation through commercial real estate investments in sectors such as industrial/logistics, multi-family housing, data centers. Construction, mezz lending. Similar appetite to madison realty"
4,Apex Capital,,https://www.apexcapital.com,Jennifer Garcia,https://www.linkedin.com/company/apexcapital,jennifer.garcia@apexcapital.com,+1 (312) 342-2679,Private Credit Fund,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chandler, AZ",Domestic,Arizona,loan area: U.S.. loan value range: $100K - $20MM. estimated book size: $250MM. comment: Is mostly a broker in the small aircraft space
5,Blackthorn Partners,,https://www.blackthornpartners.com,Roberto Rodriguez,https://www.linkedin.com/company/blackthornpartners,roberto.rodriguez@blackthornpartners.com,+1 (415) 892-9935,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Private Credit / Structured Debt / Alternative Lending,1,0,0,0,"US, Mexico",International,Mexico City,"Bridge financing in US and Mexico for non-bank financial institutions (3 yr term, 18% IRR in MXN and 15% in USD) and Enterprise Loans/ CF Loans at 2.5x to 3x EBITDA, 5 yr term and same IRR targets. Senior secured, no subordinated positions"
6,Pacific Trust,,https://www.pacifictrust.com,Sarah Lopez,https://www.linkedin.com/company/pacifictrust,sarah.lopez@pacifictrust.com,+1 (617) 289-7912,Regional Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOFOM ENR – Credit lines AC-FX and AC-MX,0,0,0,0,"Monterrey, Mexico",Domestic,Monterrey,
7,Crestline Advisors,,https://www.crestlineadvisors.com,Michael Hernandez,https://www.linkedin.com/company/crestlineadvisors,michael.hernandez@crestlineadvisors.com,+1 (713) 232-1488,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Private credit (senior secured structured loans in MXN & USD),1,0,0,0,Mexico,Domestic,"Mexico, Monterrey","Private equity terms, fund lifecycles ~8–10 years"
8,Atlantic Savings Bank,,https://www.atlanticsavingsbank.com,Ana Gonzalez,https://www.linkedin.com/company/atlanticsavingsbank,ana.gonzalez@atlanticsavingsbank.com,+1 (214) 295-4582,Regional Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida & texas,Domestic,"Miami, FL, USA",They are good with foreign nationals. Not doing financing in NY 
9,First Bank 2,,https://www.firstbank2.com,David Wilson,https://www.linkedin.com/company/firstbank2,david.wilson@firstbank2.com,+1 (602) 438-9279,Local Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Banking & Lending Services (Commercial & Personal Loans),0,0,0,0,Texas,Domestic,"Terrell, Texas",Omnilife project in the hopes as a potential lender.
10,Denali Asset Management,,https://www.denaliassetmanagement.com,Laura Anderson,https://www.linkedin.com/company/denaliassetmanagement,laura.anderson@denaliassetmanagement.com,+1 (480) 816-1434,Private Credit Fund,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Mexico City, Mexico",Domestic,Mexico City,"Fixed/adjustable loans, conventional terms"
11,Evergreen Investments,,https://www.evergreeninvestments.com,Daniel Taylor,https://www.linkedin.com/company/evergreeninvestments,daniel.taylor@evergreeninvestments.com,+1 (520) 774-4257,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"Private Credit / Direct Lending (First Lien, Unitranche, Senior Secured Loans",0,0,0,0,US,Domestic,"New York, NY","Andalusia Credit is a BDC, so they need to do this one by one.
They do other deals too and will share their deck & tear sheet for sponsor.
$1Bn raised, with 40% deployment, still raising. U.S. based borrowers with EBITDA between $5 to $150 million. No minimum tranche size; hold size $20 to $30 million"
12,Falcon Capital Group,,https://www.falconcapitalgroup.com,Patricia Thompson,https://www.linkedin.com/company/falconcapitalgroup,patricia.thompson@falconcapitalgroup.com,+1 (512) 933-9928,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mexico,Domestic,Mexico City,
13,Garrison Credit Partners,,https://www.garrisoncreditpartners.com,Richard Brown,https://www.linkedin.com/company/garrisoncreditpartners,richard.brown@garrisoncreditpartners.com,+1 (646) 629-4611,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,Domestic,"New York, NY","Loan value Range: $500k-50M, Estimated Loan Book Size: $150,000,000.00"
14,Highbridge Lending,,https://www.highbridgelending.com,Monica Davis,https://www.linkedin.com/company/highbridgelending,monica.davis@highbridgelending.com,+1 (917) 659-5557,Private Credit Fund,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Frederick, MD",Domestic,"Frederick, MD",loan area: U.S & Canada.. loan value range: $50K - $15MM. estimated book size: $200MM. comment: Sm. a/c only; Finance broker owned by the Aircraft Owner's & Pilots Assoc.
